deploy_timestamp,service_name,service_criticality_tier,owning_team,author,commit_sha,deploy_hour,day_of_week,is_weekend,lines_changed,files_changed,incidents_last_30d,days_since_last_incident,oncall_engineers_available,is_oncall_senior,has_rollback_plan,test_coverage_delta,_team_maturity,_p_true,outcome
2026-04-23T12:24:00+00:00,analytics-etl,1,data,eng32,ad61bf64b0,12,3,0,46,1,1,109.0,2,1,1,1.17,0.636,0.0109,0
2026-04-10T15:06:00+00:00,recommendations,1,discovery,eng21,9027d1db2c,15,4,0,42,3,1,2.0,2,1,0,-0.09,0.539,0.0646,0
2026-01-03T02:57:00+00:00,analytics-etl,1,data,eng07,e189efa892,2,5,1,32,1,0,31.0,1,1,0,0.22,0.483,0.1142,0
2026-01-17T11:15:00+00:00,search-svc,2,discovery,eng07,8640aecb01,11,5,1,60,3,0,2.0,1,0,1,2.14,0.753,0.1869,0
2026-05-02T18:15:00+00:00,recommendations,1,discovery,eng09,5cf077e97c,18,5,1,19,1,0,44.0,3,0,1,-5.85,0.715,0.0139,0
2026-06-20T02:10:00+00:00,search-svc,2,discovery,eng26,1ee46f3493,2,5,1,43,1,2,50.0,2,0,1,,0.611,0.5909,1
2026-03-26T04:35:00+00:00,recommendations,1,discovery,eng05,626c31e889,4,3,0,151,1,0,3.0,3,0,1,-2.6,0.659,0.3199,0
2026-04-17T06:03:00+00:00,payments-api,3,payments,eng33,72bd8048bc,6,4,0,114,4,0,43.0,3,1,1,2.91,0.375,0.3131,0
2026-04-03T08:10:00+00:00,analytics-etl,1,data,eng38,5bf8d855df,8,4,0,26,1,0,,2,0,1,0.38,0.36,0.0343,0
2026-04-03T19:03:00+00:00,auth-svc,3,identity,eng21,4d91564fea,19,4,0,56,4,1,19.0,2,0,1,-2.04,0.517,0.1984,0
2026-06-24T21:08:00+00:00,analytics-etl,1,data,eng34,18414bc434,21,2,0,48,1,0,84.0,4,1,1,4.28,0.555,0.0077,0
2026-06-23T01:02:00+00:00,auth-svc,3,identity,eng05,943fdaeb13,1,1,0,58,2,2,21.0,3,0,0,,0.638,0.7614,0
2026-01-06T10:50:00+00:00,auth-svc,3,identity,eng07,a58a95143d,10,1,0,66,1,1,17.0,2,0,1,1.68,0.532,0.2867,0
2026-04-29T10:40:00+00:00,search-svc,2,discovery,eng13,c6fa3c508e,10,2,0,16,1,3,89.0,4,1,1,2.69,0.832,0.0144,0
2026-01-24T05:52:00+00:00,checkout-web,2,storefront,eng26,1b3e3b5bd0,5,5,1,76,3,0,8.0,0,0,0,-1.99,0.371,0.732,0
2026-01-30T01:43:00+00:00,auth-svc,3,identity,eng05,50d96b04a4,1,4,0,84,3,1,60.0,2,1,1,-0.8,0.593,0.4987,1
2026-04-08T02:44:00+00:00,notifications,1,growth,eng31,8160f51d2e,2,2,0,4,1,2,,1,1,1,0.06,0.264,0.2127,0
2026-02-25T03:41:00+00:00,catalog-api,1,storefront,eng04,3755b2d20c,3,2,0,28,1,1,26.0,2,0,1,2.47,0.781,0.091,0
